################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1855092282618123E+00 a         1     0     1     1     1
  3.2445474396199909E+00 a         2     0     1     1     2
  1.5960081202030377E+01 a         3     0     1     1     3
  1.3179986108555275E+00 a         4     0     1     1     4
 -2.1552782594384961E+01 a         5     0     1     1     5
  1.5520237129650452E+01 a         6     0     1     1     6
 -4.6729558737802765E+00 a         7     0     1     1     7
 -1.3187733443605351E+01 a         8     0     1     1     8
  4.9903044801951877E+00 a         9     0     1     1     9
  3.6613404621740298E+00 a        10     0     1     1    10
 -1.7570678599525102E+00 a        11     0     1     1    11
 -6.7127633065232581E+00 a        12     0     1     1    12
 -5.7067246662979025E+00 a        13     0     1     1    13
 -5.9830630461751495E+00 a        14     0     1     1    14
  1.4881279663044792E+01 a        15     0     1     1    15
  1.7137651912542431E+01 a        16     0     1     1    16
  1.8235031177461138E+01 a        17     0     1     1    17
  4.9472301322629946E+00 a        18     0     1     1    18
 -1.4673768067689559E+00 a        19     0     1     1    19
 -1.5077635258566223E+01 a        20     0     1     1    20
 -7.1411181976596252E+00 a        21     0     2     1     1
  9.6619358666940851E+00 a        22     0     2     1     2
  7.6360678620456941E+00 a        23     0     2     1     3
  8.1580188957316155E-02 a        24     0     2     1     4
 -2.5623173338419893E+01 a        25     0     2     1     5
  1.1798636635287997E+01 a        26     0     2     1     6
 -6.2899460636991265E+00 a        27     0     2     1     7
 -6.3925202002459036E+00 a        28     0     2     1     8
 -7.4902542242788224E+00 a        29     0     2     1     9
  6.0692872804776430E+00 a        30     0     2     1    10
  5.6228749181160220E-01 a        31     0     2     1    11
 -8.0829113728684057E+00 a        32     0     2     1    12
  1.9088471705662311E+00 a        33     0     2     1    13
  6.9569124594859195E+00 a        34     0     2     1    14
  1.3842505879220454E+01 a        35     0     2     1    15
  5.0003323441289940E+00 a        36     0     2     1    16
  1.6426484476129318E+01 a        37     0     2     1    17
  9.4922225095937041E+00 a        38     0     2     1    18
 -1.4763991468101449E+00 a        39     0     2     1    19
 -1.3622350765911266E+01 a        40     0     2     1    20
 -7.9646948333946788E-01 a        41     0     3     1     1
  1.5071902891416940E+01 a        42     0     3     1     2
  5.6695508334050828E+00 a        43     0     3     1     3
  2.9860104654253576E+00 a        44     0     3     1     4
 -3.7651330125295903E+00 a        45     0     3     1     5
  9.9438435660746087E+00 a        46     0     3     1     6
 -9.6527199919453188E-01 a        47     0     3     1     7
 -1.7978906094193636E+00 a        48     0     3     1     8
 -4.0553847918992565E+00 a        49     0     3     1     9
 -6.9432761133441245E-01 a        50     0     3     1    10
  2.3845398830082924E+00 a        51     0     3     1    11
  1.9326200509614701E+01 a        52     0     3     1    12
 -5.2343022893409081E+00 a        53     0     3     1    13
  9.8973864067905826E+00 a        54     0     3     1    14
  1.7615629467560872E+01 a        55     0     3     1    15
  9.3082790424453723E+00 a        56     0     3     1    16
  1.4763968126827118E+00 a        57     0     3     1    17
  2.6209046071876840E+00 a        58     0     3     1    18
 -3.1008002664399939E+01 a        59     0     3     1    19
 -1.5846958434186902E+01 a        60     0     3     1    20
 -9.6420623494103594E+00 a        61     0     4     1     1
 -2.6564812283785230E+01 a        62     0     4     1     2
 -4.1643871959076556E+01 a        63     0     4     1     3
  3.3199756334255324E+00 a        64     0     4     1     4
  4.0028224991755842E+01 a        65     0     4     1     5
 -2.6289088095238441E+01 a        66     0     4     1     6
  2.3277410402961738E+01 a        67     0     4     1     7
  1.4006675673190649E+01 a        68     0     4     1     8
 -1.8602096774346602E+01 a        69     0     4     1     9
 -8.3676573691409217E+00 a        70     0     4     1    10
  2.4090107521496513E+00 a        71     0     4     1    11
  3.6882948061069416E+00 a        72     0     4     1    12
  1.8481205036410127E+00 a        73     0     4     1    13
  1.2049580411892336E+01 a        74     0     4     1    14
 -3.6484055277032525E+01 a        75     0     4     1    15
 -3.7292784884144368E+01 a        76     0     4     1    16
 -3.8332909694823961E+01 a        77     0     4     1    17
  2.1475278263225710E+00 a        78     0     4     1    18
 -8.5444009412081225E+00 a        79     0     4     1    19
  2.2596185641115142E+01 a        80     0     4     1    20
  9.0891393785924652E+00 a        81     0     5     1     1
 -3.7339704458542855E+01 a        82     0     5     1     2
 -2.2045790411183503E+01 a        83     0     5     1     3
  4.0435947545929993E+00 a        84     0     5     1     4
  5.2422954788383144E+01 a        85     0     5     1     5
 -2.0297613757573703E+01 a        86     0     5     1     6
  2.5071827884446282E+01 a        87     0     5     1     7
  1.1047737861934523E+01 a        88     0     5     1     8
  1.0969703190283253E+01 a        89     0     5     1     9
 -2.1417055252074539E+00 a        90     0     5     1    10
 -2.1330728764058122E+00 a        91     0     5     1    11
  1.1545375997096439E+01 a        92     0     5     1    12
 -1.0423183869091803E+01 a        93     0     5     1    13
 -2.3893185870971973E+01 a        94     0     5     1    14
 -3.2174747447304796E+01 a        95     0     5     1    15
 -7.3868336656300020E+00 a        96     0     5     1    16
 -3.6305855683064756E+01 a        97     0     5     1    17
 -1.2141472500710526E+01 a        98     0     5     1    18
 -1.2970234794036195E+01 a        99     0     5     1    19
  2.0352025047098572E+01 a       100     0     5     1    20
 -7.4779604044233432E+00 a       101     0     6     1     1
 -5.8813965942644195E+01 a       102     0     6     1     2
 -2.3055262155292670E+01 a       103     0     6     1     3
 -8.8284373280997386E+00 a       104     0     6     1     4
  1.8826606011682334E+00 a       105     0     6     1     5
 -2.7455340778283055E+01 a       106     0     6     1     6
  1.1379462928559320E+01 a       107     0     6     1     7
 -2.1701206621173470E+00 a       108     0     6     1     8
  5.5550942755621922E+00 a       109     0     6     1     9
  1.1473843094244103E+01 a       110     0     6     1    10
 -6.4548542034953682E+00 a       111     0     6     1    11
 -5.2817966428121061E+01 a       112     0     6     1    12
  1.7721295265603530E+01 a       113     0     6     1    13
 -3.8577235148268102E+01 a       114     0     6     1    14
 -4.5293416595343018E+01 a       115     0     6     1    15
 -2.0415177671938434E+01 a       116     0     6     1    16
 -7.4567711186419938E+00 a       117     0     6     1    17
  4.9542502168130893E+00 a       118     0     6     1    18
  4.0845562499193697E+01 a       119     0     6     1    19
  2.6427089481427810E+01 a       120     0     6     1    20
  1.0863014359019740E+01 a       121     0     7     1     1
  4.3426010850439667E+01 a       122     0     7     1     2
  6.3193387062330451E+01 a       123     0     7     1     3
 -2.0399896855901258E+00 a       124     0     7     1     4
 -4.1116514070240690E+01 a       125     0     7     1     5
  1.6061297449497683E+01 a       126     0     7     1     6
 -2.5250682171221538E+01 a       127     0     7     1     7
  6.2680711932741913E+00 a       128     0     7     1     8
  2.2524236845647135E+01 a       129     0     7     1     9
  1.7195523645712399E+01 a       130     0     7     1    10
 -1.2518363788538416E+00 a       131     0     7     1    11
 -2.2985822289519952E+01 a       132     0     7     1    12
  1.4208867544132733E+01 a       133     0     7     1    13
 -1.5730559339449771E+01 a       134     0     7     1    14
  3.6194085687004588E+01 a       135     0     7     1    15
  3.8032158155992931E+01 a       136     0     7     1    16
  2.8763998340748458E+01 a       137     0     7     1    17
  2.2031267594779798E+00 a       138     0     7     1    18
  5.1497047451568996E+00 a       139     0     7     1    19
 -1.8462080753714606E+01 a       140     0     7     1    20
 -1.1649035348324910E+01 a       141     0     8     1     1
  4.1857098745592658E+01 a       142     0     8     1     2
  3.4030794558273364E+01 a       143     0     8     1     3
 -1.8204203939253629E+00 a       144     0     8     1     4
 -4.2903914017910992E+01 a       145     0     8     1     5
  9.4293203955995359E+00 a       146     0     8     1     6
 -2.5202662701957262E+01 a       147     0     8     1     7
 -9.6026273306145207E+00 a       148     0     8     1     8
 -7.1965958407978432E+00 a       149     0     8     1     9
  5.8247457762610271E+00 a       150     0     8     1    10
  1.6221816374768436E+00 a       151     0     8     1    11
 -3.0400528802298975E+01 a       152     0     8     1    12
  2.8463570496030222E+01 a       153     0     8     1    13
  2.5243325101820233E+01 a       154     0     8     1    14
  2.7616684113496984E+01 a       155     0     8     1    15
  1.8569076320917353E+00 a       156     0     8     1    16
  3.8126736208751296E+01 a       157     0     8     1    17
  1.6309165968203047E+01 a       158     0     8     1    18
  1.2624207972887730E+01 a       159     0     8     1    19
 -1.5260765443307200E+01 a       160     0     8     1    20
  2.4431286506737679E+00 a       161     0     9     1     1
  7.2834040448014719E+01 a       162     0     9     1     2
  4.8232536503549319E+01 a       163     0     9     1     3
  1.1240779012952784E+01 a       164     0     9     1     4
 -1.1062382117075304E+00 a       165     0     9     1     5
  1.7125307017542379E+01 a       166     0     9     1     6
 -1.5063623564013961E+01 a       167     0     9     1     7
  6.3329117188697861E+00 a       168     0     9     1     8
 -3.7308083069008195E+00 a       169     0     9     1     9
 -2.0851414727604254E+01 a       170     0     9     1    10
  6.2799085579724121E+00 a       171     0     9     1    11
  3.1414907011795869E+01 a       172     0     9     1    12
 -1.9490045415820756E+01 a       173     0     9     1    13
  4.2642500656273278E+01 a       174     0     9     1    14
  5.1166781937547078E+01 a       175     0     9     1    15
  1.3389874331222957E+01 a       176     0     9     1    16
  1.8939809086551172E+01 a       177     0     9     1    17
  8.4896409090106921E+00 a       178     0     9     1    18
 -3.1041279904193463E+01 a       179     0     9     1    19
 -2.0568713244205565E+01 a       180     0     9     1    20
 -8.6597074182434373E+00 a       181     0    10     1     1
 -1.7109853352489406E+01 a       182     0    10     1     2
 -4.2095327492618239E+01 a       183     0    10     1     3
