################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.9603681846921506E-01 a       184     0    10     1     4
  1.6478239948731385E+01 a       185     0    10     1     5
 -4.7805298527386757E+00 a       186     0    10     1     6
  1.0313674314940963E+01 a       187     0    10     1     7
 -1.2005481574394468E+01 a       188     0    10     1     8
 -1.4276832475124063E+01 a       189     0    10     1     9
 -1.0428267792335717E+01 a       190     0    10     1    10
  9.9382411452433328E-01 a       191     0    10     1    11
  8.9778037526586285E+00 a       192     0    10     1    12
 -1.3295112763640397E+01 a       193     0    10     1    13
  6.7172744245883305E+00 a       194     0    10     1    14
 -1.4781242282165156E+01 a       195     0    10     1    15
 -2.8071394709829782E+01 a       196     0    10     1    16
 -5.0431229705236902E+00 a       197     0    10     1    17
  3.6510459461165619E+00 a       198     0    10     1    18
 -2.1490663485463295E+00 a       199     0    10     1    19
  7.4311269492453640E+00 a       200     0    10     1    20
  7.0876963805157818E+00 a       201     0    11     1     1
 -2.1991463858644504E+01 a       202     0    11     1     2
 -2.4624989990684831E+01 a       203     0    11     1     3
 -9.0563135830342700E-01 a       204     0    11     1     4
  1.1478107649215925E+01 a       205     0    11     1     5
 -1.7005320707148830E+00 a       206     0    11     1     6
  9.6324732671552518E+00 a       207     0    11     1     7
  8.1465465891251441E+00 a       208     0    11     1     8
  1.7803325005883530E+00 a       209     0    11     1     9
  3.3388112117685571E+00 a       210     0    11     1    10
  1.9012030932806853E-01 a       211     0    11     1    11
  1.1265514310289968E+01 a       212     0    11     1    12
 -2.8025375627118006E+01 a       213     0    11     1    13
 -1.1758779165257902E+01 a       214     0    11     1    14
 -1.1079152423458240E+01 a       215     0    11     1    15
 -1.0859913506083947E+01 a       216     0    11     1    16
 -1.6653069922489607E+01 a       217     0    11     1    17
 -2.3012487486800635E+00 a       218     0    11     1    18
 -8.6600904592554500E+00 a       219     0    11     1    19
  5.8420708310521405E+00 a       220     0    11     1    20
 -4.2909041652451858E+00 a       221     0    12     1     1
 -3.9686456738534694E+01 a       222     0    12     1     2
 -3.7503011529655765E+01 a       223     0    12     1     3
 -7.1302956998144431E+00 a       224     0    12     1     4
 -1.2008402856776836E+01 a       225     0    12     1     5
 -4.7360552027136587E+00 a       226     0    12     1     6
  4.0015911626280092E+00 a       227     0    12     1     7
 -5.7925292313988024E+00 a       228     0    12     1     8
 -3.0976520204745950E+00 a       229     0    12     1     9
  1.5186030488530969E+01 a       230     0    12     1    10
 -7.8478316957622174E-01 a       231     0    12     1    11
 -3.2238673157386344E+01 a       232     0    12     1    12
  5.3501211424146966E+00 a       233     0    12     1    13
 -2.1668629447782074E+01 a       234     0    12     1    14
 -2.7031417828540359E+01 a       235     0    12     1    15
 -8.1350416127584069E+00 a       236     0    12     1    16
 -1.6076083054987187E+01 a       237     0    12     1    17
 -1.0908741677734437E+01 a       238     0    12     1    18
  1.1250156642509097E+01 a       239     0    12     1    19
  7.3941704280854319E+00 a       240     0    12     1    20
  4.9967231423431896E-01 a       241     0    13     1     1
  7.7389582401340400E+00 a       242     0    13     1     2
  2.1758117456363806E+01 a       243     0    13     1     3
 -8.7413032419505349E-02 a       244     0    13     1     4
 -2.6786381511841868E+00 a       245     0    13     1     5
 -4.1379472372894072E-01 a       246     0    13     1     6
 -1.4923644307870136E+00 a       247     0    13     1     7
  7.6184984927943233E+00 a       248     0    13     1     8
  4.8643123452157511E+00 a       249     0    13     1     9
  4.9308277264798139E+00 a       250     0    13     1    10
 -6.3945543337614008E-01 a       251     0    13     1    11
 -6.3690354082062344E+00 a       252     0    13     1    12
  2.7695364926264361E+00 a       253     0    13     1    13
 -9.8843752129547124E-01 a       254     0    13     1    14
  2.9199296812849891E+00 a       255     0    13     1    15
  1.8269238130859545E+01 a       256     0    13     1    16
  6.0785728511463324E+00 a       257     0    13     1    17
  1.1533535321339179E-01 a       258     0    13     1    18
  1.7147959607278840E+00 a       259     0    13     1    19
 -1.4928677123062186E+00 a       260     0    13     1    20
 -7.2289753941643395E+00 a       261     0    14     1     1
  4.9427460691951053E+00 a       262     0    14     1     2
  1.6844598705135475E+01 a       263     0    14     1     3
  7.7228693216684285E-01 a       264     0    14     1     4
 -1.4785293012986516E+00 a       265     0    14     1     5
 -9.9434667265420007E-01 a       266     0    14     1     6
 -1.1284027400292158E+00 a       267     0    14     1     7
  1.2625515255766224E+00 a       268     0    14     1     8
  4.1241782843908598E-01 a       269     0    14     1     9
 -2.0346002464723583E+00 a       270     0    14     1    10
 -6.9187671492774927E-01 a       271     0    14     1    11
 -2.6911519877746026E+00 a       272     0    14     1    12
  1.0660108005135660E+01 a       273     0    14     1    13
  5.0731582421360724E+00 a       274     0    14     1    14
  1.5775184432623404E+00 a       275     0    14     1    15
  1.6320426348063830E+01 a       276     0    14     1    16
  1.6130340255684796E+01 a       277     0    14     1    17
  2.4603627035792086E+00 a       278     0    14     1    18
  5.3760721256221302E+00 a       279     0    14     1    19
 -1.2027362955353547E+00 a       280     0    14     1    20
 -6.1642857585446431E-01 a       281     0    15     1     1
  1.0332419138831426E+01 a       282     0    15     1     2
  2.5857785268350078E+01 a       283     0    15     1     3
  2.9968657064708011E+00 a       284     0    15     1     4
 -1.2530374831274949E-01 a       285     0    15     1     5
 -5.0870640856269911E-01 a       286     0    15     1     6
  1.2318153093573001E+00 a       287     0    15     1     7
  8.1242661786506822E+00 a       288     0    15     1     8
  2.5162477871584668E+00 a       289     0    15     1     9
 -9.2281508008437676E+00 a       290     0    15     1    10
 -1.3234280866880777E+00 a       291     0    15     1    11
  9.3794523128224672E+00 a       292     0    15     1    12
 -2.0314597915569634E+00 a       293     0    15     1    13
  3.1462217197005491E+00 a       294     0    15     1    14
  8.3874617053350349E+00 a       295     0    15     1    15
  1.3990072072973806E+01 a       296     0    15     1    16
  1.6962835826482184E+01 a       297     0    15     1    17
  1.1715956021484322E+01 a       298     0    15     1    18
  4.8913740461875332E-01 a       299     0    15     1    19
 -1.0989479529311481E+00 a       300     0    15     1    20
 -7.2380678574555430E+00 a       301     0    16     1     1
  1.3233747720880324E+01 a       302     0    16     1     2
 -2.2697052106886169E+01 a       303     0    16     1     3
 -5.2339737756094058E+00 a       304     0    16     1     4
  2.0581605729131706E+01 a       305     0    16     1     5
  4.2404197289585728E+00 a       306     0    16     1     6
 -1.4704459353450956E+00 a       307     0    16     1     7
  7.5030061765232618E+00 a       308     0    16     1     8
 -1.7791437161353713E+01 a       309     0    16     1     9
  1.2055088090424981E+00 a       310     0    16     1    10
  4.4866904287669476E+00 a       311     0    16     1    11
  1.0050282634722352E+01 a       312     0    16     1    12
  5.1001345406134773E+00 a       313     0    16     1    13
  2.5968330738162475E+01 a       314     0    16     1    14
 -1.4492085056475757E+01 a       315     0    16     1    15
  2.0459749486911416E+01 a       316     0    16     1    16
 -6.7600966813893546E+00 a       317     0    16     1    17
 -3.7616245111510857E+01 a       318     0    16     1    18
 -3.1528104886044219E+00 a       319     0    16     1    19
 -1.7152674182867769E+00 a       320     0    16     1    20
  7.1293763377610349E+00 a       321     0    17     1     1
  5.1063806860818362E-01 a       322     0    17     1     2
  1.2651057628573241E+01 a       323     0    17     1     3
 -2.1217771685574656E+00 a       324     0    17     1     4
  1.2740717371301029E+01 a       325     0    17     1     5
  9.0156450446501912E-01 a       326     0    17     1     6
  1.9377025244021342E+00 a       327     0    17     1     7
 -7.3924625430199269E+00 a       328     0    17     1     8
 -6.1512850921049465E+00 a       329     0    17     1     9
  1.9989669400042843E+01 a       330     0    17     1    10
  4.9011880225826348E+00 a       331     0    17     1    11
 -2.6599098297165806E+00 a       332     0    17     1    12
  1.1275302401301193E+01 a       333     0    17     1    13
  1.3817418052388538E+01 a       334     0    17     1    14
 -8.4767422897875289E+00 a       335     0    17     1    15
 -3.3524248778863722E+01 a       336     0    17     1    16
  1.7021327991418544E+00 a       337     0    17     1    17
 -2.4468284238271607E+01 a       338     0    17     1    18
 -1.4025603920444349E+00 a       339     0    17     1    19
  8.7194368300768010E-01 a       340     0    17     1    20
 -3.5826622319381038E+00 a       341     0    18     1     1
 -5.3937902603796750E-01 a       342     0    18     1     2
 -2.2896819104904910E+01 a       343     0    18     1     3
  2.5794133837688995E+00 a       344     0    18     1     4
  3.8610968072154535E+01 a       345     0    18     1     5
  8.7536452229290174E-01 a       346     0    18     1     6
 -7.5680981744464881E-01 a       347     0    18     1     7
 -9.1364098497128432E-01 a       348     0    18     1     8
 -8.4743187494162733E+00 a       349     0    18     1     9
 -1.9873463924160692E+01 a       350     0    18     1    10
  5.6749258225811792E+00 a       351     0    18     1    11
  1.1369804433622754E+01 a       352     0    18     1    12
 -8.4663542777352951E+00 a       353     0    18     1    13
  2.4565328126642822E+01 a       354     0    18     1    14
 -1.2652688325555310E+01 a       355     0    18     1    15
 -2.1305041696661423E+01 a       356     0    18     1    16
 -9.7665249904943501E+00 a       357     0    18     1    17
 -7.4717036062997657E+00 a       358     0    18     1    18
  8.6378281219037873E+00 a       359     0    18     1    19
  2.7677744650478182E+00 a       360     0    18     1    20
 -1.7690206897231295E+01 a       361     0    19     1     1
  6.5946597219942236E+00 a       362     0    19     1     2
 -2.6497665669670035E+01 a       363     0    19     1     3
  9.1255325499859126E+00 a       364     0    19     1     4
 -2.1300988898780556E+01 a       365     0    19     1     5
 -4.5411724582952573E+00 a       366     0    19     1     6
  8.6012193812043769E+00 a       367     0    19     1     7
 -9.3909666026576613E+00 a       368     0    19     1     8
 -8.5667244729085059E+00 a       369     0    19     1     9
 -6.7900183880649276E+00 a       370     0    19     1    10
  2.9838688000670670E+00 a       371     0    19     1    11
  7.0871869440670543E-01 a       372     0    19     1    12
  1.9109997538064842E+00 a       373     0    19     1    13
  8.6727832270163336E+00 a       374     0    19     1    14
 -9.6750650961498308E-01 a       375     0    19     1    15
 -2.3101298040212566E+01 a       376     0    19     1    16
 -1.3607955476252802E+00 a       377     0    19     1    17
 -4.2831201584255822E+00 a       378     0    19     1    18
  1.5337639438249928E+01 a       379     0    19     1    19
 -2.1325874919891397E+00 a       380     0    19     1    20
  1.5063999973722062E+01 a       381     0    20     1     1
  1.6018182928912843E+00 a       382     0    20     1     2
 -1.7977898604000583E+01 a       383     0    20     1     3
 -3.2613524681859469E+00 a       384     0    20     1     4
  9.1832577243368227E+00 a       385     0    20     1     5
 -5.0648809227051430E+00 a       386     0    20     1     6
  4.7519629570033404E+00 a       387     0    20     1     7
 -2.8532507819701030E+00 a       388     0    20     1     8
 -1.1714224678524172E+01 a       389     0    20     1     9
 -5.5621146847748912E+00 a       390     0    20     1    10
  7.8321391461765790E+00 a       391     0    20     1    11
 -1.4598756551915749E+01 a       392     0    20     1    12
  2.7624604550322573E+01 a       393     0    20     1    13
 -1.7384233413331955E+00 a       394     0    20     1    14
  1.8307221339394633E+01 a       395     0    20     1    15
 -1.4915350578674040E+01 a       396     0    20     1    16
 -9.9263913536823978E+00 a       397     0    20     1    17
 -3.8771217560182940E+01 a       398     0    20     1    18
  7.5474906422918968E+00 a       399     0    20     1    19
 -3.3483177104686723E-01 a       400     0    20     1    20
 -1.0648395168354071E+01 a       401     0    21     1     1
  1.0111791928451623E+00 a       402     0    21     1     2
 -1.5615851047391674E+01 a       403     0    21     1     3
 -3.6810435950593132E+00 a       404     0    21     1     4
  6.0443270406571656E+00 a       405     0    21     1     5
  1.0914499221889828E+01 a       406     0    21     1     6
 -1.6204376078901475E+01 a       407     0    21     1     7
 -7.6703640019183839E+00 a       408     0    21     1     8
  1.2683967629493413E+01 a       409     0    21     1     9
 -2.7869347219067904E+00 a       410     0    21     1    10
  6.2084204485120722E+00 a       411     0    21     1    11
  2.1561823532928358E+01 a       412     0    21     1    12
  4.3046214640361175E-01 a       413     0    21     1    13
  1.3541358912445686E+01 a       414     0    21     1    14
 -2.0609339166187129E-01 a       415     0    21     1    15
  7.1046804853827072E-01 a       416     0    21     1    16
  1.8459871283450532E+01 a       417     0    21     1    17
 -1.9669964693222717E+01 a       418     0    21     1    18
  2.7573676923020642E+01 a       419     0    21     1    19
  3.1131177580215708E+00 a       420     0    21     1    20
  1.1762430088712106E+01 a       421     0    22     1     1
 -2.4080043862002810E+01 a       422     0    22     1     2
  2.5296079333691399E+01 a       423     0    22     1     3
  7.6144788462005888E+00 a       424     0    22     1     4
 -1.6524787347258538E+01 a       425     0    22     1     5
 -4.7410984664286913E+00 a       426     0    22     1     6
  4.4970188505058966E+00 a       427     0    22     1     7
 -1.3133922259765805E+00 a       428     0    22     1     8
  3.1689022038791578E+01 a       429     0    22     1     9
 -2.1188346236767024E+00 a       430     0    22     1    10
 -7.6684051075202326E+00 a       431     0    22     1    11
 -1.3569801749522856E+01 a       432     0    22     1    12
  5.7547433834675255E-01 a       433     0    22     1    13
 -3.7681990469982516E+01 a       434     0    22     1    14
  2.4270142520921976E+01 a       435     0    22     1    15
 -1.3551810495501128E+01 a       436     0    22     1    16
  1.0258770790242762E+01 a       437     0    22     1    17
  4.3026292603727931E+01 a       438     0    22     1    18
  4.3396905741907474E+00 a       439     0    22     1    19
  3.8590756481861592E+00 a       440     0    22     1    20
 -2.2802016194411641E+00 a       441     0    23     1     1
  2.4158639144593037E+00 a       442     0    23     1     2
 -2.3349497151885970E+01 a       443     0    23     1     3
  2.0210560858868831E+00 a       444     0    23     1     4
 -2.7923548615160936E+01 a       445     0    23     1     5
 -3.3482173969941695E+00 a       446     0    23     1     6
 -3.0211650851663556E+00 a       447     0    23     1     7
 -5.8641394484706988E-01 a       448     0    23     1     8
  2.0164331318748474E+01 a       449     0    23     1     9
 -2.8132581719273116E+01 a       450     0    23     1    10
 -1.1400706810942234E+01 a       451     0    23     1    11
 -1.3831992813264082E-01 a       452     0    23     1    12
 -3.1378939540003015E+00 a       453     0    23     1    13
 -3.3028078564892425E+01 a       454     0    23     1    14
  1.3436558380459447E+01 a       455     0    23     1    15
  2.3795330012210787E+01 a       456     0    23     1    16
 -1.2438458204227027E+01 a       457     0    23     1    17
  2.7183964966467034E+01 a       458     0    23     1    18
 -1.8197115962918105E+00 a       459     0    23     1    19
  1.9491745481494729E-01 a       460     0    23     1    20
  1.9544881186651576E+01 a       461     0    24     1     1
  4.1329206369806030E+01 a       462     0    24     1     2
  2.3161270265612728E+01 a       463     0    24     1     3
 -4.9123365236362346E+00 a       464     0    24     1     4
 -1.8391953452071046E+01 a       465     0    24     1     5
 -3.4856066618022763E+00 a       466     0    24     1     6
 -2.3025278467999453E+00 a       467     0    24     1     7
  1.7011054203563202E+01 a       468     0    24     1     8
  2.5003758190814416E+01 a       469     0    24     1     9
  2.7500095442795466E+01 a       470     0    24     1    10
 -1.3727500743979679E+01 a       471     0    24     1    11
 -6.6808084346192054E+00 a       472     0    24     1    12
  1.0555099295808931E+01 a       473     0    24     1    13
 -4.3576403696956753E+01 a       474     0    24     1    14
  2.3402138109756233E+01 a       475     0    24     1    15
  2.4062520481685883E+01 a       476     0    24     1    16
  2.2864149024037639E+00 a       477     0    24     1    17
  1.1529679188934674E+01 a       478     0    24     1    18
 -1.0616165514578006E+01 a       479     0    24     1    19
 -1.2135159736419769E+00 a       480     0    24     1    20
  2.0317671875664786E+01 a       481     0    25     1     1
 -2.6749307500604328E+01 a       482     0    25     1     2
  2.4447904275867462E+01 a       483     0    25     1     3
 -1.3843895043807857E+01 a       484     0    25     1     4
  4.0698083429877336E+01 a       485     0    25     1     5
  4.3236434946026039E+00 a       486     0    25     1     6
 -1.3976523871447833E+01 a       487     0    25     1     7
  1.2553929875512004E+01 a       488     0    25     1     8
  1.3162564965172871E+01 a       489     0    25     1     9
  1.5309146276285260E+01 a       490     0    25     1    10
 -7.9401562667511572E+00 a       491     0    25     1    11
  1.7638169854177178E+01 a       492     0    25     1    12
 -3.1415500558375335E+01 a       493     0    25     1    13
 -2.2539700023437874E+01 a       494     0    25     1    14
  3.8184987358851661E+00 a       495     0    25     1    15
  9.2937597016628910E+00 a       496     0    25     1    16
  8.2407270465301857E-02 a       497     0    25     1    17
  9.4005634951945627E+00 a       498     0    25     1    18
 -2.1111845824865089E+01 a       499     0    25     1    19
  4.8031215620652405E+00 a       500     0    25     1    20
 -1.1678947506474188E+01 a       501     0    26     1     1
  1.1870931145556558E+01 a       502     0    26     1     2
  1.4534638632765086E+01 a       503     0    26     1     3
  4.9861896356282820E+00 a       504     0    26     1     4
 -1.8575155678682034E+01 a       505     0    26     1     5
  6.0933157822192392E+00 a       506     0    26     1     6
 -6.7136838919217245E+00 a       507     0    26     1     7
  9.1167514696702767E-01 a       508     0    26     1     8
  5.3757919698511198E+00 a       509     0    26     1     9
  1.6145056839292181E+01 a       510     0    26     1    10
 -1.3828124861013043E+01 a       511     0    26     1    11
  3.7841020566917882E-01 a       512     0    26     1    12
 -6.3659079084389498E+00 a       513     0    26     1    13
  5.4804269694875130E+00 a       514     0    26     1    14
 -2.3040469195021238E+01 a       515     0    26     1    15
  1.8035741283565969E+01 a       516     0    26     1    16
 -1.0694501945020754E+01 a       517     0    26     1    17
  4.9506294266466924E+01 a       518     0    26     1    18
 -2.1520525744676586E+01 a       519     0    26     1    19
  2.8417360341498616E+00 a       520     0    26     1    20
  2.0063497849377846E+01 a       521     0    27     1     1
 -9.5137280728244491E+00 a       522     0    27     1     2
  1.5731861067163580E+01 a       523     0    27     1     3
  5.0760017196297813E+00 a       524     0    27     1     4
 -4.9494199671493195E+00 a       525     0    27     1     5
 -1.3517415001447787E+01 a       526     0    27     1     6
  2.2821470582086466E+01 a       527     0    27     1     7
  1.7855405069329965E+01 a       528     0    27     1     8
 -1.8022314693087097E+01 a       529     0    27     1     9
  4.6509013896863580E+00 a       530     0    27     1    10
