################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.6014235117916069E+00 a       419     0    21     1    19
  1.0145998958360376E+01 a       420     0    21     1    20
  1.1203864386669560E+00 a       421     0    22     1     1
 -7.4983041108745468E+01 a       422     0    22     1     2
  1.8990166359601709E+01 a       423     0    22     1     3
  9.4467385847621159E+00 a       424     0    22     1     4
  2.2120002321985865E+01 a       425     0    22     1     5
 -9.0955230528913606E+00 a       426     0    22     1     6
 -1.7692034901184169E+01 a       427     0    22     1     7
 -6.1745070923095433E+00 a       428     0    22     1     8
 -4.1910359312949508E+00 a       429     0    22     1     9
  3.2349867497961038E-01 a       430     0    22     1    10
  1.5235152224447432E+01 a       431     0    22     1    11
 -4.3024007769874029E+00 a       432     0    22     1    12
  3.1343752269114962E+00 a       433     0    22     1    13
  2.2219195657550248E+01 a       434     0    22     1    14
 -1.4010273844485962E+01 a       435     0    22     1    15
 -7.8471991271386239E+00 a       436     0    22     1    16
  2.3217053995649366E+01 a       437     0    22     1    17
 -1.5092462265894197E+01 a       438     0    22     1    18
 -2.9573447206168190E+01 a       439     0    22     1    19
  4.8827947289286637E+00 a       440     0    22     1    20
 -1.1386919874749751E+01 a       441     0    23     1     1
  1.3375399035010650E+01 a       442     0    23     1     2
  2.8060206604732851E+01 a       443     0    23     1     3
  1.7781309832828981E+01 a       444     0    23     1     4
  1.4005457390992094E+01 a       445     0    23     1     5
  7.2607117277201256E+00 a       446     0    23     1     6
 -7.3217761903888574E+00 a       447     0    23     1     7
  9.1553487668815781E-01 a       448     0    23     1     8
 -2.8101994056431657E+01 a       449     0    23     1     9
 -5.5617627748881828E+00 a       450     0    23     1    10
  6.3621306465379872E+00 a       451     0    23     1    11
 -3.7621750484281211E+00 a       452     0    23     1    12
 -1.8432245080427883E+01 a       453     0    23     1    13
 -1.4727309980338790E+00 a       454     0    23     1    14
 -1.4197514838644583E+01 a       455     0    23     1    15
  2.3709661745545773E+01 a       456     0    23     1    16
  1.4416449749288436E+01 a       457     0    23     1    17
 -9.3012781185272182E+00 a       458     0    23     1    18
 -6.8378974106155104E+00 a       459     0    23     1    19
 -8.1309741190535811E-01 a       460     0    23     1    20
 -9.1941108554269881E+00 a       461     0    24     1     1
 -9.4948048426798568E+00 a       462     0    24     1     2
 -1.7528631852132616E+01 a       463     0    24     1     3
  6.1441984457926380E-01 a       464     0    24     1     4
 -1.5006396476120559E+01 a       465     0    24     1     5
  9.5383848593225586E+00 a       466     0    24     1     6
  6.2359106829056055E+00 a       467     0    24     1     7
 -2.3159544941120584E+00 a       468     0    24     1     8
 -2.6982275449624431E+01 a       469     0    24     1     9
  2.0542933822792842E+00 a       470     0    24     1    10
  4.9761650674616709E+00 a       471     0    24     1    11
 -2.3374587139789704E+00 a       472     0    24     1    12
  3.2731284554012410E+00 a       473     0    24     1    13
  1.9991698830491501E+01 a       474     0    24     1    14
 -4.1667195640671455E+00 a       475     0    24     1    15
  1.2682995775377876E+01 a       476     0    24     1    16
 -1.7982204565192053E+01 a       477     0    24     1    17
 -1.7237806986453041E+01 a       478     0    24     1    18
 -5.4312260235947987E+00 a       479     0    24     1    19
  1.3995911840733532E+01 a       480     0    24     1    20
 -4.5484623112918081E+00 a       481     0    25     1     1
  6.7563916102703017E+00 a       482     0    25     1     2
  1.5879180501037038E-01 a       483     0    25     1     3
  1.4646207381443116E+01 a       484     0    25     1     4
  2.2196685381882574E+01 a       485     0    25     1     5
 -1.9367664847921390E+01 a       486     0    25     1     6
  1.7715368500215884E+01 a       487     0    25     1     7
 -1.0230785240225719E+00 a       488     0    25     1     8
 -1.6175444814656949E+01 a       489     0    25     1     9
  2.2979832236235365E+00 a       490     0    25     1    10
 -1.1608132221650576E+00 a       491     0    25     1    11
 -1.3762173111708726E+01 a       492     0    25     1    12
  2.2646537367734865E+01 a       493     0    25     1    13
 -5.8746754741621245E+00 a       494     0    25     1    14
  6.7884131842256901E+00 a       495     0    25     1    15
  9.5463263525205306E+00 a       496     0    25     1    16
 -1.3153606265470147E+01 a       497     0    25     1    17
  1.2187670053611310E+01 a       498     0    25     1    18
  6.6038257907555575E+00 a       499     0    25     1    19
  1.3243695620998004E+01 a       500     0    25     1    20
 -1.9349253032270518E+01 a       501     0    26     1     1
  5.5573678856040392E+00 a       502     0    26     1     2
  3.6914309161538630E+00 a       503     0    26     1     3
  1.9983485175451342E+01 a       504     0    26     1     4
  6.2599484183358571E+00 a       505     0    26     1     5
 -7.4165224674943824E+00 a       506     0    26     1     6
 -3.5973523813063615E+00 a       507     0    26     1     7
 -2.6329985668810991E+00 a       508     0    26     1     8
 -1.2069847346932323E+00 a       509     0    26     1     9
  5.7873369233245038E+00 a       510     0    26     1    10
 -2.3320326415363843E+00 a       511     0    26     1    11
  9.5256152686919560E-02 a       512     0    26     1    12
  2.5711163544417680E+01 a       513     0    26     1    13
  6.6576653962159504E+00 a       514     0    26     1    14
 -4.5343389931519731E+00 a       515     0    26     1    15
  2.1503414845239085E+01 a       516     0    26     1    16
  4.1199477500999198E+00 a       517     0    26     1    17
  8.1579332195951437E+00 a       518     0    26     1    18
 -4.5685512062674976E+00 a       519     0    26     1    19
 -5.2974497324097030E+00 a       520     0    26     1    20
 -2.6712296362693763E+01 a       521     0    27     1     1
  4.1928553578726140E+00 a       522     0    27     1     2
 -6.4196676666192731E+00 a       523     0    27     1     3
 -5.1000228182561811E+00 a       524     0    27     1     4
 -1.9798102284274538E+01 a       525     0    27     1     5
 -1.6594995581243033E+01 a       526     0    27     1     6
 -1.0709655925061494E+01 a       527     0    27     1     7
 -6.6517537031336937E+00 a       528     0    27     1     8
  1.2201842281815793E+01 a       529     0    27     1     9
  7.3156479742849312E-01 a       530     0    27     1    10
