################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  4.6157487784725659E-01 a         1     0     1     1     1
 -1.7636744495871127E+01 a         2     0     1     1     2
 -1.2118671094825466E+01 a         3     0     1     1     3
  1.6776335473925116E+01 a         4     0     1     1     4
  4.9112988380467311E+00 a         5     0     1     1     5
 -1.1683454721643670E+01 a         6     0     1     1     6
 -4.3857134389049106E+00 a         7     0     1     1     7
  1.4267059700897214E+01 a         8     0     1     1     8
  2.2531541375535536E+01 a         9     0     1     1     9
  3.8325285985415327E+00 a        10     0     1     1    10
  1.9609406559994016E+00 a        11     0     1     1    11
  1.3703929650844167E+01 a        12     0     1     1    12
  1.5314989616835424E+01 a        13     0     1     1    13
 -3.8650308342141750E+00 a        14     0     1     1    14
  1.1594731804786775E+01 a        15     0     1     1    15
  1.0183523435359083E+01 a        16     0     1     1    16
 -4.8682322792541859E+00 a        17     0     1     1    17
  4.6481810037439670E+00 a        18     0     1     1    18
 -2.1128209913663728E+01 a        19     0     1     1    19
 -1.2618004247678639E+01 a        20     0     1     1    20
  1.8199937164511222E+00 a        21     0     2     1     1
 -1.2472908349166557E+01 a        22     0     2     1     2
 -1.2197984295413455E+01 a        23     0     2     1     3
  1.4379951332137201E+01 a        24     0     2     1     4
  4.4482196684529267E+00 a        25     0     2     1     5
 -9.8472685951774732E+00 a        26     0     2     1     6
 -1.2720512440636616E+01 a        27     0     2     1     7
  1.6396221791744676E+01 a        28     0     2     1     8
 -8.0225920701776126E+00 a        29     0     2     1     9
  2.7291143204493684E+00 a        30     0     2     1    10
 -3.1899404173336987E+00 a        31     0     2     1    11
  1.7372739160960588E+01 a        32     0     2     1    12
 -8.5508581976961473E+00 a        33     0     2     1    13
 -4.3253341356033701E+00 a        34     0     2     1    14
  1.1669118645081330E+01 a        35     0     2     1    15
  1.7043593521121458E+01 a        36     0     2     1    16
 -8.9371444916479437E+00 a        37     0     2     1    17
  2.8150962226817132E+01 a        38     0     2     1    18
 -2.5848036724498336E+01 a        39     0     2     1    19
 -1.7335550366977280E+01 a        40     0     2     1    20
 -9.2233972790026986E+00 a        41     0     3     1     1
 -2.2556099591053030E+01 a        42     0     3     1     2
 -2.2555291351255608E+01 a        43     0     3     1     3
  3.6587028366593557E+01 a        44     0     3     1     4
  1.5051382156045273E+01 a        45     0     3     1     5
 -2.6112534525080825E+01 a        46     0     3     1     6
 -1.6620328972964032E+01 a        47     0     3     1     7
  1.5120896999236052E+01 a        48     0     3     1     8
  1.5211308525030478E+00 a        49     0     3     1     9
  9.6910429294207727E+00 a        50     0     3     1    10
 -4.1095448266419501E+00 a        51     0     3     1    11
  1.8447625813263240E+01 a        52     0     3     1    12
 -1.4629540179883218E+01 a        53     0     3     1    13
 -9.1876339295844929E+00 a        54     0     3     1    14
  1.0201450012680397E+01 a        55     0     3     1    15
  2.7515431701732233E+01 a        56     0     3     1    16
 -7.8934362786906167E+00 a        57     0     3     1    17
 -3.9161002660115196E+00 a        58     0     3     1    18
 -1.6047089443397248E+01 a        59     0     3     1    19
 -1.2706685957660211E+01 a        60     0     3     1    20
  4.0623004608758677E+00 a        61     0     4     1     1
  4.8289359688172610E+01 a        62     0     4     1     2
  2.7206287634862569E+01 a        63     0     4     1     3
 -3.9398931824527494E+01 a        64     0     4     1     4
 -7.7148829036909650E+00 a        65     0     4     1     5
  1.8600004603588225E+01 a        66     0     4     1     6
  1.7600762590210355E+01 a        67     0     4     1     7
 -2.0507573221957969E+01 a        68     0     4     1     8
 -4.1356366947668157E+01 a        69     0     4     1     9
 -1.2618253520413424E+01 a        70     0     4     1    10
 -1.4614642732317815E+00 a        71     0     4     1    11
 -3.0818361130259991E+01 a        72     0     4     1    12
 -1.7819049335764554E+01 a        73     0     4     1    13
 -7.9859932421096200E+00 a        74     0     4     1    14
 -3.0599757397556338E+01 a        75     0     4     1    15
 -7.9297912758388813E+00 a        76     0     4     1    16
  1.5537784278866157E+01 a        77     0     4     1    17
 -1.1544432803165341E+01 a        78     0     4     1    18
  2.4016742451436976E+01 a        79     0     4     1    19
  2.0001934725468278E+01 a        80     0     4     1    20
 -7.9392688656223842E-02 a        81     0     5     1     1
  2.7924928697675423E+01 a        82     0     5     1     2
  2.6654564873401689E+01 a        83     0     5     1     3
 -2.5933039543493138E+01 a        84     0     5     1     4
  4.8882384621000448E+00 a        85     0     5     1     5
  1.1120772290896568E+01 a        86     0     5     1     6
  2.5987772605792340E+01 a        87     0     5     1     7
 -2.3414502590933626E+01 a        88     0     5     1     8
  2.5235150374744229E+01 a        89     0     5     1     9
 -1.0570935891929397E+01 a        90     0     5     1    10
 -1.2369266038188860E+00 a        91     0     5     1    11
 -3.7979451257346895E+01 a        92     0     5     1    12
  3.8980113784272667E+01 a        93     0     5     1    13
  4.6423748196260650E+00 a        94     0     5     1    14
 -3.1962866822562745E+01 a        95     0     5     1    15
 -2.0608445601387825E+01 a        96     0     5     1    16
  2.9303372004977192E+01 a        97     0     5     1    17
 -6.4769013954803015E+01 a        98     0     5     1    18
  2.6418210158462887E+01 a        99     0     5     1    19
  5.0377721319482816E+01 a       100     0     5     1    20
  2.9815815420161208E+01 a       101     0     6     1     1
  3.7490741171493397E+01 a       102     0     6     1     2
  5.1834012856179307E+01 a       103     0     6     1     3
 -7.9853854914730377E+01 a       104     0     6     1     4
 -3.7866888167069057E+01 a       105     0     6     1     5
  4.5302701864242266E+01 a       106     0     6     1     6
  2.8758388760403392E+01 a       107     0     6     1     7
 -1.5613502119169862E+01 a       108     0     6     1     8
 -4.4317356501744678E+00 a       109     0     6     1     9
 -2.7582816677734652E+01 a       110     0     6     1    10
 -5.1486533965954564E+00 a       111     0     6     1    11
 -4.2201761803139263E+01 a       112     0     6     1    12
  4.6517194206412022E+01 a       113     0     6     1    13
  1.7950587067917194E+01 a       114     0     6     1    14
 -3.6168619190582454E+01 a       115     0     6     1    15
 -1.9271197708120688E+01 a       116     0     6     1    16
  3.3827026768873168E+01 a       117     0     6     1    17
  1.2443982444991679E+01 a       118     0     6     1    18
 -1.8371328173457133E+00 a       119     0     6     1    19
  3.8439622411055360E+01 a       120     0     6     1    20
  2.7650433225841335E+00 a       121     0     7     1     1
 -3.2717661392804906E+01 a       122     0     7     1     2
 -2.2213988724451351E+01 a       123     0     7     1     3
  3.3821006609068782E+01 a       124     0     7     1     4
  2.3345186153206301E+00 a       125     0     7     1     5
  7.8940881399007656E+00 a       126     0     7     1     6
 -2.4043403811443459E-01 a       127     0     7     1     7
  1.3816811911246647E+01 a       128     0     7     1     8
  4.2107322036967183E+01 a       129     0     7     1     9
  1.1198565428609239E+01 a       130     0     7     1    10
 -8.0629548103857438E+00 a       131     0     7     1    11
  2.1235325617662955E+01 a       132     0     7     1    12
  4.9723558123056897E+00 a       133     0     7     1    13
  1.7355633831456714E+01 a       134     0     7     1    14
  2.5443710028961039E+01 a       135     0     7     1    15
  1.2609363880091506E+01 a       136     0     7     1    16
 -2.2519359609464807E+01 a       137     0     7     1    17
  5.6030932346973827E+00 a       138     0     7     1    18
 -1.5411718659873866E+01 a       139     0     7     1    19
 -2.5521690541973083E+01 a       140     0     7     1    20
  4.3303091778946996E+00 a       141     0     8     1     1
 -1.1253484252544933E+01 a       142     0     8     1     2
 -2.1923132341292494E+01 a       143     0     8     1     3
  1.1081716937406403E+01 a       144     0     8     1     4
 -2.4126292574078100E+01 a       145     0     8     1     5
  9.1530640168758470E+00 a       146     0     8     1     6
 -1.4371237720564565E+00 a       147     0     8     1     7
  1.6001207698303666E+01 a       148     0     8     1     8
 -3.1076707193093252E+01 a       149     0     8     1     9
  9.9746248594094169E+00 a       150     0     8     1    10
 -4.1668521695859342E+00 a       151     0     8     1    11
  2.6634566637162010E+01 a       152     0     8     1    12
 -5.5965368579302940E+01 a       153     0     8     1    13
  6.6713188461351738E+00 a       154     0     8     1    14
  2.7977631045145703E+01 a       155     0     8     1    15
  3.4401769581004352E+01 a       156     0     8     1    16
 -3.5922290467307768E+01 a       157     0     8     1    17
  5.8506320796014251E+01 a       158     0     8     1    18
 -1.7201719085501367E+01 a       159     0     8     1    19
 -5.3155056602071866E+01 a       160     0     8     1    20
 -2.8560075331513765E+01 a       161     0     9     1     1
 -1.0929764090618889E+01 a       162     0     9     1     2
 -4.4039745323832548E+01 a       163     0     9     1     3
  6.5937340856341393E+01 a       164     0     9     1     4
  2.4677605033452206E+01 a       165     0     9     1     5
 -3.1018137079969673E+01 a       166     0     9     1     6
 -9.4064579076201298E+00 a       167     0     9     1     7
  7.2262400822985331E+00 a       168     0     9     1     8
  1.1787858439700697E+01 a       169     0     9     1     9
  2.5770846854955735E+01 a       170     0     9     1    10
  2.7789852788010903E+00 a       171     0     9     1    11
  2.4827786616561038E+01 a       172     0     9     1    12
 -6.1896086378491042E+01 a       173     0     9     1    13
 -2.4276330486313174E+01 a       174     0     9     1    14
  3.0588775261851030E+01 a       175     0     9     1    15
  6.7015176583593696E+00 a       176     0     9     1    16
 -4.5646608733046030E+01 a       177     0     9     1    17
 -2.2048962037870300E+01 a       178     0     9     1    18
  1.4163596570819035E+01 a       179     0     9     1    19
 -3.6522394520083971E+01 a       180     0     9     1    20
 -1.4634481091761635E+00 a       181     0    10     1     1
  1.6517584431577284E+01 a       182     0    10     1     2
  8.8198351801286421E+00 a       183     0    10     1     3
 -1.5105450266152426E+01 a       184     0    10     1     4
 -9.5946323863929521E+00 a       185     0    10     1     5
  4.9770005676920359E+00 a       186     0    10     1     6
 -2.3323144825556805E+00 a       187     0    10     1     7
 -5.5123604175061347E+00 a       188     0    10     1     8
 -2.6958928087018943E+01 a       189     0    10     1     9
 -5.5898768611506098E+00 a       190     0    10     1    10
 -2.5409358366412160E+00 a       191     0    10     1    11
 -8.3787958540300700E+00 a       192     0    10     1    12
  8.5565412660800213E+00 a       193     0    10     1    13
 -1.2985094971900185E+01 a       194     0    10     1    14
 -1.3246717604532311E+01 a       195     0    10     1    15
 -1.0535301902883156E+00 a       196     0    10     1    16
  1.4009204904257471E+01 a       197     0    10     1    17
 -8.8363377799201910E+00 a       198     0    10     1    18
  7.3655625923976968E+00 a       199     0    10     1    19
  6.9958247875774946E+00 a       200     0    10     1    20
  4.2892086099860732E-01 a       201     0    11     1     1
  4.6883032927298283E+00 a       202     0    11     1     2
  8.2852322680116668E+00 a       203     0    11     1     3
  8.8918046281521548E+00 a       204     0    11     1     4
  9.4599175314105413E+00 a       205     0    11     1     5
  1.0789838105867595E+01 a       206     0    11     1     6
  6.1044058621143709E+00 a       207     0    11     1     7
 -5.9019132768434917E+00 a       208     0    11     1     8
  1.4430138284585189E+01 a       209     0    11     1     9
 -4.6933409325068416E+00 a       210     0    11     1    10
  9.4812299303636394E+00 a       211     0    11     1    11
 -9.9435039526197748E+00 a       212     0    11     1    12
  3.6689164348863748E+01 a       213     0    11     1    13
  3.1413563729953879E+00 a       214     0    11     1    14
 -1.2901389676858198E+01 a       215     0    11     1    15
 -1.1802729689844409E+01 a       216     0    11     1    16
  1.8759065189339175E+01 a       217     0    11     1    17
 -3.1551442300325011E+01 a       218     0    11     1    18
  8.0075062939655801E+00 a       219     0    11     1    19
  3.0466020991498088E+01 a       220     0    11     1    20
  2.7835178838757987E+01 a       221     0    12     1     1
  3.8458603557903843E+00 a       222     0    12     1     2
  1.8734580111594745E+01 a       223     0    12     1     3
 -3.0949980531392459E+01 a       224     0    12     1     4
 -2.4157206564115935E+01 a       225     0    12     1     5
  4.0055845185295716E+01 a       226     0    12     1     6
  7.6911045981839177E+00 a       227     0    12     1     7
 -1.0084929135016789E+00 a       228     0    12     1     8
 -1.0210158423177312E+01 a       229     0    12     1     9
 -1.2635561877703466E+01 a       230     0    12     1    10
 -7.7063757455543209E+00 a       231     0    12     1    11
 -7.1327608596034198E+00 a       232     0    12     1    12
  2.7400390109886402E+01 a       233     0    12     1    13
  1.2023412380776337E+01 a       234     0    12     1    14
 -1.3710851140778955E+01 a       235     0    12     1    15
  1.6212140407523734E+01 a       236     0    12     1    16
  2.3350509688814288E+01 a       237     0    12     1    17
  9.6537475527143481E+00 a       238     0    12     1    18
 -7.8090286127153892E+00 a       239     0    12     1    19
  2.7101293870059727E+01 a       240     0    12     1    20
  5.1759165844566510E+00 a       241     0    13     1     1
 -5.9689965561419980E+00 a       242     0    13     1     2
 -2.9087617959421372E+00 a       243     0    13     1     3
  6.5220764502426007E+00 a       244     0    13     1     4
  4.7031513451544447E+00 a       245     0    13     1     5
 -1.8598620652338882E+00 a       246     0    13     1     6
  6.5857889843316997E+00 a       247     0    13     1     7
  1.6413589956732026E+00 a       248     0    13     1     8
  1.2090953889070020E+01 a       249     0    13     1     9
  1.8177284292646660E+00 a       250     0    13     1    10
 -5.3992996764107719E+00 a       251     0    13     1    11
  1.2779263746029181E+00 a       252     0    13     1    12
 -5.0221583979319968E+00 a       253     0    13     1    13
  1.0972508667554262E+01 a       254     0    13     1    14
  4.7235580371969430E+00 a       255     0    13     1    15
  4.0923057493553161E+00 a       256     0    13     1    16
 -1.4351237264361275E+01 a       257     0    13     1    17
  6.6202608605311699E+00 a       258     0    13     1    18
 -1.5279225247320998E+00 a       259     0    13     1    19
 -2.1885557892890550E+00 a       260     0    13     1    20
  3.7113806481050240E+00 a       261     0    14     1     1
 -2.9274246934332040E+00 a       262     0    14     1     2
 -2.4043990034954188E+00 a       263     0    14     1     3
 -1.5344104181665503E+00 a       264     0    14     1     4
 -7.1402091793318876E+00 a       265     0    14     1     5
 -7.5408072670649897E+00 a       266     0    14     1     6
 -2.3715149899695231E+00 a       267     0    14     1     7
  1.7431356553855271E+00 a       268     0    14     1     8
 -6.0780077327747994E+00 a       269     0    14     1     9
  1.5839966677134762E+00 a       270     0    14     1    10
 -9.4650340463817138E+00 a       271     0    14     1    11
  1.9387830359395479E+00 a       272     0    14     1    12
 -1.4793021149830846E+01 a       273     0    14     1    13
  1.1903801444648632E+00 a       274     0    14     1    14
  4.4225959636668524E+00 a       275     0    14     1    15
  7.2617790533319386E+00 a       276     0    14     1    16
 -1.7177511632984643E+01 a       277     0    14     1    17
  1.1649435524643739E+01 a       278     0    14     1    18
 -2.8329418232956716E+00 a       279     0    14     1    19
 -3.1561165534636721E+00 a       280     0    14     1    20
 -1.1490213731106314E+01 a       281     0    15     1     1
 -2.4876067382189149E+00 a       282     0    15     1     2
 -5.4868987902235462E+00 a       283     0    15     1     3
  1.0300357107471150E+01 a       284     0    15     1     4
  1.2183436746577440E+01 a       285     0    15     1     5
 -7.5501235995081259E+00 a       286     0    15     1     6
  5.8439686809946965E+00 a       287     0    15     1     7
  3.4954551727795619E-01 a       288     0    15     1     8
  1.1180338927128084E+01 a       289     0    15     1     9
  3.5414014853949984E+00 a       290     0    15     1    10
 -1.6444397693999162E+00 a       291     0    15     1    11
  1.2764936537275101E-01 a       292     0    15     1    12
 -5.9489316232259908E+00 a       293     0    15     1    13
  7.6751813528388002E-01 a       294     0    15     1    14
  3.7279801978689604E+00 a       295     0    15     1    15
 -3.9815952402421968E+00 a       296     0    15     1    16
 -1.8640229414767532E+01 a       297     0    15     1    17
 -6.7344350501406702E-01 a       298     0    15     1    18
  2.8688867306093044E+00 a       299     0    15     1    19
 -6.6007723209804823E+00 a       300     0    15     1    20
  2.7607114527723065E+00 a       301     0    16     1     1
  4.3702597646217434E+01 a       302     0    16     1     2
 -1.0443926445285742E+01 a       303     0    16     1     3
 -1.1250199775231456E+01 a       304     0    16     1     4
 -1.5686742189580073E+01 a       305     0    16     1     5
 -6.8144469517707158E+00 a       306     0    16     1     6
 -5.1416109392260969E+00 a       307     0    16     1     7
  2.0960995567337979E+00 a       308     0    16     1     8
 -1.2772995130001330E+01 a       309     0    16     1     9
  2.0303593100981714E+00 a       310     0    16     1    10
 -2.3467403567373605E+01 a       311     0    16     1    11
  4.0302632915044683E+00 a       312     0    16     1    12
 -1.1435474828291026E+01 a       313     0    16     1    13
 -1.2844339895437804E+01 a       314     0    16     1    14
  6.9343632049635762E+00 a       315     0    16     1    15
  1.4395062331323027E+01 a       316     0    16     1    16
 -2.1009594435161785E+00 a       317     0    16     1    17
  2.1615096832806259E+01 a       318     0    16     1    18
  1.8090517808365629E+01 a       319     0    16     1    19
 -2.1169290560835292E+00 a       320     0    16     1    20
 -4.1862813806803416E+00 a       321     0    17     1     1
 -1.4489020501746182E+01 a       322     0    17     1     2
 -2.6625595121192571E+01 a       323     0    17     1     3
 -1.0656670204333084E+01 a       324     0    17     1     4
 -3.6213462479719345E+00 a       325     0    17     1     5
 -9.9287227882056790E+00 a       326     0    17     1     6
  1.4066652847990188E+01 a       327     0    17     1     7
 -2.0966268108212565E+00 a       328     0    17     1     8
 -1.3632992625376048E+00 a       329     0    17     1     9
  5.4232584131162795E+00 a       330     0    17     1    10
 -4.0105649284557382E-01 a       331     0    17     1    11
  1.9650598038632123E+00 a       332     0    17     1    12
  5.2415950996052647E+00 a       333     0    17     1    13
  9.0576126614051733E-01 a       334     0    17     1    14
  8.9755783786108481E+00 a       335     0    17     1    15
 -6.6475800759346280E+00 a       336     0    17     1    16
 -5.4358960202509765E+00 a       337     0    17     1    17
  7.0552507283068850E+00 a       338     0    17     1    18
  7.3832432273630557E+00 a       339     0    17     1    19
  1.3228284021173822E+01 a       340     0    17     1    20
  1.6311575401149543E+01 a       341     0    18     1     1
  1.3477838753702875E+01 a       342     0    18     1     2
  6.4515900317522545E+00 a       343     0    18     1     3
 -6.3211611012909321E+00 a       344     0    18     1     4
  7.2381252217924921E+00 a       345     0    18     1     5
 -6.5363295255956739E+00 a       346     0    18     1     6
  1.0588186787788023E+00 a       347     0    18     1     7
 -2.0377706102484958E-01 a       348     0    18     1     8
  9.4637014188390367E+00 a       349     0    18     1     9
  5.9416242843157119E-01 a       350     0    18     1    10
 -1.2822117908533961E+00 a       351     0    18     1    11
  1.8729363042326497E+00 a       352     0    18     1    12
 -6.4881464013085237E+00 a       353     0    18     1    13
 -2.0480909908883927E+01 a       354     0    18     1    14
  2.0839263867131224E+00 a       355     0    18     1    15
 -1.5277399162769125E+01 a       356     0    18     1    16
  5.1306482585533431E+00 a       357     0    18     1    17
  1.1172064670326611E+01 a       358     0    18     1    18
  5.9862274508654094E+00 a       359     0    18     1    19
 -4.1190251353769982E+00 a       360     0    18     1    20
 -6.6291822282730610E+00 a       361     0    19     1     1
  6.0399293721480811E+00 a       362     0    19     1     2
 -6.6773483771675597E+00 a       363     0    19     1     3
 -1.7883080363254596E+01 a       364     0    19     1     4
 -6.3804304003875592E+00 a       365     0    19     1     5
  7.1058549623784666E+00 a       366     0    19     1     6
 -1.1474780323050263E+01 a       367     0    19     1     7
 -1.1819051910322247E+00 a       368     0    19     1     8
  2.3671818356672969E+01 a       369     0    19     1     9
  6.2049413383079621E-01 a       370     0    19     1    10
  1.5434035467137470E+01 a       371     0    19     1    11
  1.1288128112886181E+01 a       372     0    19     1    12
 -2.0234848928373594E+01 a       373     0    19     1    13
  3.6300559246519652E+00 a       374     0    19     1    14
 -5.9167160862857262E+00 a       375     0    19     1    15
  7.5965048041869991E+00 a       376     0    19     1    16
  1.7682181943722565E+01 a       377     0    19     1    17
  1.4807737062624108E+01 a       378     0    19     1    18
 -2.5599334174253983E+00 a       379     0    19     1    19
 -2.1204172749577641E+01 a       380     0    19     1    20
  1.1890087986403261E+01 a       381     0    20     1     1
 -8.1906039655232998E+00 a       382     0    20     1     2
 -9.0643391083125096E+00 a       383     0    20     1     3
 -1.5292164670012058E+01 a       384     0    20     1     4
 -9.0712714240404608E+00 a       385     0    20     1     5
  4.4880657113552109E+00 a       386     0    20     1     6
 -6.0204063575015860E+00 a       387     0    20     1     7
 -4.3933949254930532E-01 a       388     0    20     1     8
 -7.9029577754155671E+00 a       389     0    20     1     9
 -2.2520045745442276E+00 a       390     0    20     1    10
  3.3541265853190976E+00 a       391     0    20     1    11
 -5.6770310320591311E-01 a       392     0    20     1    12
 -1.8972089877529402E+01 a       393     0    20     1    13
 -3.9339528167631901E+00 a       394     0    20     1    14
  3.9226551808126890E+00 a       395     0    20     1    15
 -3.4820555466740231E+01 a       396     0    20     1    16
  2.4764820744730489E+00 a       397     0    20     1    17
 -9.3298463749575724E+00 a       398     0    20     1    18
  6.2424041540385753E+00 a       399     0    20     1    19
 -7.3469903883936061E+00 a       400     0    20     1    20
  2.6095702739867228E+01 a       401     0    21     1     1
 -1.1928488702383895E+01 a       402     0    21     1     2
  4.9536982936351306E+00 a       403     0    21     1     3
 -1.4056690646631926E+01 a       404     0    21     1     4
  7.9233068720306230E+00 a       405     0    21     1     5
  1.9953594605829341E+01 a       406     0    21     1     6
  2.1616205273442866E+01 a       407     0    21     1     7
  3.0056405467193366E+00 a       408     0    21     1     8
 -1.0564146398083974E+01 a       409     0    21     1     9
  1.0416459776469107E+00 a       410     0    21     1    10
  2.5087122263957609E+00 a       411     0    21     1    11
 -7.7271092784201345E+00 a       412     0    21     1    12
  3.1297495362829433E+00 a       413     0    21     1    13
 -1.2836094101465804E+01 a       414     0    21     1    14
  9.0112878567119328E+00 a       415     0    21     1    15
  1.5632947799145834E+01 a       416     0    21     1    16
  1.3153929679946481E+01 a       417     0    21     1    17
  8.8842728117491916E+00 a       418     0    21     1    18
